id,Name,priority
203895,Fence; Wire; Four Rails; Timber Post,2
203908,Gate; Chainmesh; 1.2m,2
203856,Gate; Chainmesh; 2.1m,2
203873,Gate; chains & lock,2
203860,Gate; Colourbond; Vehicle; Double,2
203896,Gate; Galvanised Chainmesh; 1.8m,2
203855,Gate; Galvanised Chainmesh; Vehicle; 6m,2
203913,Gate; Paling; 1.8m,2
203983,Gate; Palisade; Automatic Slide; 6m,2
203839,Gate; Rail; Lock,2
203838,Gate; Rural,2
203892,Gate; Steel Post; Vehicle; Double,2
203977,Gate; Steel Spearhead; 1.7m,2
203901,Gate; Wiremesh; 0.9m,2
203826,Gate; Wiremesh; 2m,3
203827,Gate; Wiremesh; 2m,2
203775,Landscaping; Basic Maintenance,2
203782,Landscaping; Turf; Basic Maintenance,2
202804,Fire Alarm Control Panel; Extra Large,2
202417,Fire Alarm Control Panel; Large,2
202807,Fire Alarm Control Panel; Local,2
202416,Fire Alarm Control Panel; Medium,2
202806,Fire Alarm; Manual Break Glass,2
202757,Fire Alarm; Siren,2
202638,Smoke Detectors,2
202638,Smoke Detector,2
202638,Fire; Detector,2
202636,Fire Extinguisher; Carbon Dioxide; 2kg,2
202355,Extinguisher; CO2; 3.5kg,2
202355,Fire Extinguisher; Carbon Dioxide; 3.5kg,2
202510,Fire Extinguisher; Carbon Dioxide; 5kg,2
202508,Fire Extinguisher; Dry Chemical; 4.5kg,2
202509,Fire Extinguisher; Dry Chemical; 9kg,2
202511,Fire Extinguisher; Foam; 9L,2
202507,Fire Extinguisher; Water; 9L,2
202512,Fire Booster; Diesel,2
202554,Fire Booster; Electric; 11kW,2
202343,Fire Booster; Valve Assembly,2
202639,Fire Hose Reel,2
202641,Fire Hydrant,2
202640,Fire Hydrant System; Pump Set,2
202519,Smoke Curtain; HD; Vertical Fibreshield,2
202650,Fire Blanket,2
197152,Hair Dryer; Pedestal,2
197406,Hand Dryer,2
197406,Hand Dryer; Enamel; Push button,2
197404,Toilet Roll Holder; Stainless Steel; Two Rolls,2
197172,Art Work,2
197639,Paint; Windows & Surrounds,2
197228,Bench; Aluminium; Stadium,2
196765,Bench; Judge; 2.5m Modular,2
196766,Bench; Solicitor; 5m Modular,3
197229,Bench; Timber; Stadium,2
196899,Seat; Aluminium; Bench; HD Perofated,2
204026,Seat; Aluminium; Flat top bench,2
197233,Seat; Cinema,2
196769,Seat; Court Bench,2
196771,Seat; Court Dock; Modular,2
196772,Seat; Courts,2
204025,Seat; Perforated metal; Painted,2
203939,Seat; Plastic; Fixed Bench,2
203937,Seat; Timber Concrete Frame; Fixed,2
204024,Seat; Timber Concrete Frame; Mobile,2
204023,Seat; Timber Metal Frame,2
203938,Seat; Timber Metal Frame; Painted,2
203945,Seat; Timber; Flat top Bench,2
197275,Office Building Facade; 7-20 Storey; 50% Glazing,2
197274,Office Building Facade; 7-20 Storey; Glazing,2
197278,Office Building Facade; 7-20 Storey; No Glazing,2
197139,Flag ; Aboriginal,3
203807,Flag Pole; Aluminium; 12m,2
203809,Flag Pole; Timber; 12m,3
197138,Flag; Australian,1
197137,Flag; Queensland,3
197711,Roof Flashing,2
197707,Roof; Barge Fascia; Steel,2
197705,Roof; Barge Fascia; Timber,1
197485,Floor Wastes,2
197485,Floor Waste,2
197605,Floor; Concrete,2
197607,Floor; Sealed Surface; Epoxy Finish,3
197607,Floor; Concrete; Epoxy Finish,3
197607,Floor; Concrete; Polished,3
197621,Floor; Fibre Cement,3
197610,Floor; Linoleum; Commercial; Heavy Duty,3
197611,Floor; Timber Laminate; 8mm,2
203794,Pavement; PVC; Link Mat,2
197617,Floor; Aluminium Checkered Plate,2
197618,Floor; Aluminium Mesh,2
197626,Floor; Ceramic Tiles,1
197626,Floor; Ceramic Tile,1
197634,Floor; Computer; Access,2
196777,Floor; Concrete; Heavy Duty,2
197629,Floor; Hardwood Timber; 25mm,2
197625,Floor; Marble Tiles,3
197625,Floor; Marble Tile,3
197630,Floor; Parquetry Block,2
197627,Floor; Pine Timber; 25mm,2
197620,Floor; Plywood Timber,2
197622,Floor; Rubber Sheet; Studded,2
197614,Floor; Rubber Tile; 12mm; Sport,2
197612,Floor; Rubber Tile; 6mm; Sport,2
197624,Floor; Safety Padded,2
197631,Floor; Sport; Air Thrust,2
197615,Floor; Sport; Plexipave,2
197613,Floor; Sport; Vinyl Sheet,2
197619,Floor; Steel Mesh,2
197606,Floor; Terrazzo Tiles,2
197606,Floor; Terrazzo Tile,2
197608,Floor; Vinyl Sheet,2
197609,Floor; Vinyl Tiles,2
197609,Floor; Vinyl Tile,2
197633,Pavement; Rubber; Softfall,2
197635,Vinyl Floor - Asbestos Sheet Lining,2
197023,Bain Marie; 4 Container; Commercial,2
208009,Bain Marie; 6 Container; Commercial,2
208011,Bain Marie; 6 Container; Commercial; Warming Oven,2
208010,Bain Marie; Hot Press; Commercial,2
197024,Barbeque; Commercial,2
203987,Barbeque; Electric,3
203986,Barbeque; Gas,2
203914,Barbeque; Gas Bottle,2
203989,Barbeque; Wood Fired,3
197100,Blast Chiller; Commercial,2
197026,Blender Mixer; Commercial; 20L,2
197033,Bratt Pan; Gas; Commercial; 80L,1
208003,Can Washer; Commercial; Large,3
208002,Can Washer; Commercial; Standard,2
197067,Chip Cooker; Commercial,2
197063,Coffee Machine; Domestic,3
197073,Combi Steamer; Commercial,2
197065,Comcater,2
197090,Cook Top Oven; Gas; Commercial; Stainless Steel,2
197079,Cook Top; Electric; Domestic,2
197083,Cook Top; Electric; Domestic Small,2
197058,Cook Top; Gas; Commercial; 6 Burner,2
197080,Cook Top; Gas; Domestic,2
197084,Cook Top; Gas; Domestic,2
197036,Cool Room; Medium,2
197027,Dishwasher: Commerical; Medium,2
208006,Dishwasher; Commercial; Extra Large,2
208005,Dishwasher; Commercial; Large,2
208004,Dishwasher; Commercial; Small,2
207994,Dishwasher; Domestic; Built-In; Average,2
207993,Dishwasher; Domestic; Built-In; Premium,2
197077,Dishwasher; Domestic; Freestanding; Premium,2
207995,Dishwasher; Domestic; Mobile; Average,2
197044,Flake Ice Machine; Commercial; 25kg,2
197047,Food Carrier; Insulated,2
197096,Food Processor; Commercial Slicer; Automatic Carriage,2
197097,Food Processor; Commercial Slicer; Bowl Cutter,3
197038,Food Processor; Commercial Slicer; Manual Carriage,2
197101,Food Processor; Commercial Slicer; Vegetable,2
197029,Food Warmer,2
197043,Freezer; Bar; Commercial,1
197062,Freezer; Chest,2
197040,Freezer; Commercial; 300L,2
197075,Fridge; Domestic; 48L,2
197091,Fryer; Stainless Steel; Commercial; Double,2
197064,Glass Washer,2
197028,Glass Washer; Commercial; Freestanding,2
207999,Glass Washer; Commercial; Underbar,2
197046,Griddle; Gas; Commercial,2
197099,Heat Sealing Machine; Commercial; Food,2
197034,Kettle; Electric; Commercial; 230L,2
197069,Kitchen Utensils,2
197030,Oven; Convection; Commercial,1
197098,Oven; Deck; Commercial,2
197032,Oven; Microwave; Commercial,2
197085,Oven; Microwave; Domestic,2
208008,Oven; Microwave; Domestic Deluxe,2
197031,Oven; Steam Pressure; Commerical,2
197081,Oven; Wall; Electric; Domestic,2
197082,Oven; Wall; Gas; Domestic,2
197068,Pie Heater,2
197070,Pizza Kiln,2
197087,Pot Washer; Stainless Steel,2
197025,Potato Peeler; Commercial,2
202877,Refrigeration Compressor; 2 - 5kW; CoolRoom,2
197052,"Refrigerator, Bar",2
197056,"Refrigerator, Commercial; Single Door",2
197039,"Refrigerator; Commercial; 300L, 100L Freezer",2
197055,Refrigerator; Domestic,2
197059,Salamander; 900mm; Commercial,2
197089,Stock Pot; Stainless Steel,1
203915,Test - BBQ: Stainless Steel / Electric,2
197048,Toaster; Commercial,2
197066,Toaster; Commercial; Conveyor,2
197051,Toaster; Domestic; Small,2
197095,Vacuum Packing Machine; Commercial,2
202774,Floor; Ceramic Tile; Pool,2
202449,Lift; Goods; 6 Floors; Geared; Variable,2
202907,Storage Tank; Fuel,2
196892,Bed; Bunk,2
197418,Bed; Bunk; Built-In,2
197237,Bench; Aluminium,2
197235,Bench; Timber; Upholstered,2
196946,Chair; Breakout; Armchair,2
196947,Chair; Breakout; Sofa,2
196956,Chair; Plastic; Child,2
196773,Chair; Public Waiting,2
196918,Chair; Sofa,2
196770,Desk; Judges,3
196909,High Chair; Baby,2
196977,Step Stool; 2 Step,2
196897,Table; Aluminium Bench; Combined Unit,2
197398,Table; Baby Change; Plastic Surface,2
196939,Table; Children,2
196954,Table; Freestanding; Café; 700x 510mm,2
196905,Table; Freestanding; Café; 800x 800mm,2
196809,Table; Game Master,2
196926,Table; Outdoor; Round General Purpose,2
196957,Table; Polyplastic; Child Sebel,2
196958,Table; School,2
196930,Table; Staff,2
196936,Table; Staff Amenities,2
202303,Gas Line; Natural; Installation,2
202879,Fuel Burner; Gas; Industrial,2
202463,Cable Conduit; Galvanised Steel,2
202865,Cable Conduit; PVC,2
196861,IMUX Module,2
202849,Heat Exchanger,2
204037,Bag Dispenser; Dog Poop,3
197428,Mirror; Wall,2
197400,Paper Towel Dispenser; White Enamel; Surface Mounted,1
197396,Soap Dispenser; Plastic,1
197407,Soap Dispenser; Stainless Steel,2
197403,Tissue Dispenser; Stainless Steel; Surface Mounted,2
197397,Toilet Tissue Dispenser; Stainless Steel; Surface Mounted,2
197399,Toilet Tissue Dispenser; White Epoxy; Multi Roll,2
197712,Roof Skylight; Dome,2
202805,Roof Ventilator; Rotary; 300mm,2
202506,Roof Ventilator; Rotary; 600mm,3
202400,Ground Anchor; Anti Static,2
197191,Residual Current Devices,1
197191,Residual Current Device,1
197191,RCD,1
202513,RCD; High Security,2
202582,RCD; Hospital; Body Protection,2
202583,RCD; Hospital; Cardiac Protection,2
202550,RCD; Main Switch,2
202581,RCD; Main Switch; 100mA; 2 Pole 80A,2
202846,Surge Protector,2
